name,number_of_GFP_kernels,number_of_WT_kernels,cross_type,allele,year,Fiji_or_Earvision,TotalK,TransmissionRate
X403x433-3m1,262,252,Pollen,R24D03,2018,E,514,51.00%
X434-1x402,44,39,Ear,R26G07,2018,F,83,53.00%
X434L-1x402,92,75,Ear,R26G07,2018,E,167,55.10%
Y2x67-1,129,122,Pollen,R26G07,2019,E,251,51.40%
X434-3x402,129,159,Ear,R26G07,2018,E,288,44.80%
X400x434L-1m1,124,166,Pollen,R26G07,2018,E,290,42.80%
X401x434-3m1,156,146,Pollen,R26G07,2018,E,302,51.70%
Y2x66-3,168,154,Pollen,R26G07,2019,E,322,52.20%
Y2x66-10,177,154,Pollen,R26G07,2019,E,331,53.50%
Y2x67-5,189,182,Pollen,R26G07,2019,E,371,50.90%
Y2x66-2,197,176,Pollen,R26G07,2019,E,373,52.80%
Y2x67G-1,180,207,Pollen,R26G07,2019,E,387,46.50%
Y66-9x1,195,200,Ear,R26G07,2019,E,395,49.40%
Y66-10x1,199,206,Ear,R26G07,2019,E,405,49.10%
Y67G-1x1,217,192,Ear,R26G07,2019,E,409,53.10%
Y67-1x1,210,207,Ear,R26G07,2019,E,417,50.40%
Y2x66-7,208,228,Pollen,R26G07,2019,E,436,47.70%
Y2x67-4,210,231,Pollen,R26G07,2019,E,441,47.60%
Y2x66-6,226,221,Pollen,R26G07,2019,E,447,50.60%
Y66-3x1,246,205,Ear,R26G07,2019,E,451,54.50%
Y2x67G-2,238,219,Pollen,R26G07,2019,E,457,52.10%
Y66-7x1,217,244,Ear,R26G07,2019,E,461,47.10%
Y66-6x1,234,232,Ear,R26G07,2019,E,466,50.20%
Y2x66-9,234,247,Pollen,R26G07,2019,E,481,48.60%
X402x434-1m1,287,224,Pollen,R26G07,2018,E,511,56.20%
Y66-2x1,266,260,Ear,R26G07,2019,E,526,50.60%
Y67G-2x1,280,265,Ear,R26G07,2019,E,545,51.40%
X435L-2x402,124,141,Ear,R27E01,2018,E,265,46.80%
X403x435-1m1,151,141,Pollen,R27E01,2018,E,292,51.70%
Y2x32-3,137,156,Pollen,R27E01,2019,E,293,46.80%
Y2x32-5,135,159,Pollen,R27E01,2019,E,294,45.90%
Y2x32-6,153,143,Pollen,R27E01,2019,E,296,51.70%
Y2x32-2,160,149,Pollen,R27E01,2019,E,309,51.80%
Y2x33-1,196,157,Pollen,R27E01,2019,E,353,55.50%
Y32-1x1,203,178,Ear,R27E01,2019,E,381,53.30%
X402x435L-2m2,207,176,Pollen,R27E01,2018,E,383,54.00%
X435-5x402,212,198,Ear,R27E01,2018,E,410,51.70%
X401x435-5m1,201,223,Pollen,R27E01,2018,E,424,47.40%
Y32-2x1,212,234,Ear,R27E01,2019,E,446,47.50%
X435-1x402,247,206,Ear,R27E01,2018,E,453,54.50%
Y32-6x1,234,219,Ear,R27E01,2019,E,453,51.70%
Y32-3x1,252,211,Ear,R27E01,2019,E,463,54.40%
Y32-5x1,228,251,Ear,R27E01,2019,E,479,47.60%
Y2x32-1,245,250,Pollen,R27E01,2019,E,495,49.50%
X402x435L-2m3,239,278,Pollen,R27E01,2018,E,517,46.20%
Y33-1x1,344,282,Ear,R27E01,2019,E,626,55.00%
X437-3x402,84,67,Ear,R31B01,2018,E,151,55.60%
X402x437-1m3,85,90,Pollen,R31B01,2018,E,175,48.60%
X402x437-1m1,98,90,Pollen,R31B01,2018,E,188,52.10%
X437-1x402,112,115,Ear,R31B01,2018,E,227,49.30%
Y2x40-1,176,155,Pollen,R31B01,2019,E,331,53.20%
Y2x40-5,157,210,Pollen,R31B01,2019,E,367,42.80%
Y2x40-2,190,189,Pollen,R31B01,2019,E,379,50.10%
X402x437-1m2,183,203,Pollen,R31B01,2018,E,386,47.40%
X401x437-3m1,184,206,Pollen,R31B01,2018,E,390,47.20%
X437-2x402,195,211,Ear,R31B01,2018,E,406,48.00%
Y2x40-3,190,218,Pollen,R31B01,2019,E,408,46.60%
Y40-3x1,215,199,Ear,R31B01,2019,E,414,51.90%
